1,38,51,0
0,33,69,0
1,39,96,1
0,37,71,0
0,33,113,0
0,23,48,0
1,31,74,0
1,46,79,1
0,44,39,0
0,31,71,0
0,41,51,0
0,23,66,0
0,24,89,0
1,38,61,0
1,28,32,0
0,59,42,0
0,35,65,0
1,46,28,1
0,35,60,0
0,21,68,0
0,42,80,1
0,26,80,0
0,45,45,1
1,35,72,0
0,33,51,0
1,37,52,0
0,18,68,0
0,54,108,1
0,39,73,0
1,26,86,0
1,38,61,0
1,33,31,0
0,32,117,1
0,45,131,1
1,41,79,0
1,41,87,1
0,23,28,0
0,31,118,1
0,46,96,0
0,19,21,0
0,20,36,0
1,40,47,0
1,29,80,0
0,49,36,1
1,21,72,0
0,20,82,0
0,39,61,0
1,20,86,0
1,40,57,0
0,51,146,1
0,27,58,0
1,34,115,0
1,30,135,1
1,48,33,1
0,44,139,1
1,35,55,0
0,35,147,1
0,34,43,0
0,31,15,0
0,52,114,0
0,38,50,0
0,27,17,0
0,35,50,0
0,48,134,1
1,40,78,0
0,35,77,0
1,27,90,0
0,26,52,0
1,48,141,0
0,37,93,1
0,40,142,1
0,54,104,1
1,19,76,0
1,48,33,1
0,39,134,1
1,30,89,0
1,52,150,1
0,59,88,1
0,36,75,0
0,53,104,1
0,41,72,0
1,26,80,0
1,42,80,0
1,39,77,0
1,36,60,0
0,47,144,1
0,20,82,0
0,37,146,1
1,58,144,1
0,49,141,1
0,21,16,0
0,26,35,0
0,38,50,0
0,26,17,0
1,40,65,0
0,39,71,0
0,28,59,0
1,27,58,0
0,55,125,1
0,29,83,0
1,37,79,1
1,20,74,0
1,37,70,1
1,49,74,0
0,24,32,0
0,47,107,1
1,41,72,0
1,42,54,0
1,32,18,0
1,54,70,1
0,51,134,0
1,35,61,0
1,24,58,0
0,50,20,1
1,19,85,0
0,38,65,0
1,45,22,1
1,23,63,0
1,35,22,0
0,47,50,1
